id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,lyrics
264,Feel It Still,Portugal. The Man,r&b,happy,0.795,79.03,0.754,0.801,0.042,81,"Can't keep my hands to myself Think I'll dust 'em off, put 'em back up on the shelf In case my little baby girl is in need Am I coming out of left field? Ooh woo, I'm a rebel just for kicks, now I been feeling it since 1966, now Might be over now, but I feel it still Ooh woo, I'm a rebel just for kicks, now Let me kick it like it's 1986, now Might be over now, but I feel it still Got another mouth to feed (I'm a rebel just for kicks now) Leave it with a baby sitter, mama, call the grave digger G"
265,HIP,Mamamoo,pop,happy,0.731,138.03,0.824,0.782,0.038,81,"NA All I wanna be is 멋짐 내 마음대로 골라 (Kick it) 머리 어깨 무릎 다 hip해 Do it, do it, like me do it 나를 따라 해 (Hey, kick it) Clapping, clapping 모두 같이 Hip, hip, hip, hip I love you 네가 뭐라든 간에 Respect you 네가 뭘 하든 간에 (She's crazy) 늘 따끈따끈해 그 관심이 따끔따끔해 또 힐끔 힐끔 힐끔 (Hip, hip, hip, hip) 이젠 모든 일이 가뿐해 Veteran 성공을 썰어 먹어 마치 Michelin 누구보다 빠른 걸음을 걸었네 비시즌 잊은 지도 오래야 뒷걸음 All I wanna be is 멋짐 내 멋대로 골라 (Kick it) 머리 어깨 무릎 다 hip-hip-hip-hip 삐삐삐 논란이 돼 my fashion (Oh) 별로 신경 안 써 그저 action (Yeah) 자꾸 click me, click me, 홀린 듯이 zoom Clos"
266,Dusk Till Dawn - Radio Edit,ZAYN,pop,sad,0.4370000000000001,180.04,0.097,0.258,0.101,81,"Not tryna be in there Not tryna be cool Just tryna be in this Tell me, how you choose? Can you feel where the wind is? Can you feel it through All of the windows Inside this room? 'Cause I wanna touch you baby And I wanna feel you too I wanna see the sunrise and your sins Just me and you Light it up, on the run Let's make love tonight Make it up, fall in love, try (baby I'm right here) But you'll never be alone I'll be with you from dusk till dawn I'll be with you from dusk till dawn Baby, I'm r"
267,Electricity (with Dua Lipa),Silk City,pop,neutral,0.67,118.16,0.505,0.588,0.01,81,"Falling into you, baby Even electricity can't compare to what I feel When I'm with you Ooh, baby Giving up my ghost for you And now I'm see-through You give me a feeling, feeling so strong I know you've been treating, treating yourself wrong So let me care for you Ooh, baby I'ma love you differently I'll give you electricity Give it to you And even if I could I wouldn't turn on you And I would stop the world for you, you know I wanna let you know, I'll never let this feeling go This love has no "
268,Whatever It Takes,Imagine Dragons,pop,neutral,0.655,134.94,0.556,0.672,0.036,81,"Falling too fast to prepare for this Tripping in the world could be dangerous Everybody circling is vulturous Negative, nepotist Everybody waiting for the fall of man Everybody praying for the end of times Everybody hoping they could be the one I was born to run, I was born for this Whip, whip Run me like a racehorse Pull me like a ripcord Break me down and build me up I wanna be the slip, slip Word upon your lip, lip Letter that you rip, rip Break me down and build me up Whatever it takes'Cause"
269,Don't Let Me Down,The Chainsmokers,pop,neutral,0.8690000000000001,159.8,0.422,0.532,0.157,81,"Crashing, hit a wall Right now I need a miracle Hurry up now, I need a miracle Stranded, reaching out I call your name, but you're not around I say your name, but you're not around I need you, I need you, I need you right now Yeah, I need you right now So don't let me, don't let me, don't let me down I think I'm losing my mind now It's in my head, darling, I hope That you'll be here when I need you the most So don't let me, don't let me, don't let me down D-don't let me down Don't let me down Do"
270,Thunderstruck,AC/DC,pop,sad,0.889,133.52,0.257,0.501,0.0,81,"Thunder, ah Thunder, ah Thunder, ah Thunder, ah Thunder, ah Thunder, ah Thunder, ah Thunder, ah Thunder, ah Thunder, ah I was caught In the middle of a railroad track (Thunder) I looked 'round And I knew there was no turning back (Thunder) My mind raced And I thought, what could I do? (Thunder) And I knew There was no help, no help from you (Thunder) Sound of the drums Beating in my heart The thunder of guns Tore me apart You've been - thunderstruck Went down the highway Broke the limit, we hit "
271,Sunday Best,Surfaces,pop,happy,0.525,112.02,0.694,0.878,0.183,81,"Feeling good, like I should Went and took a walk around the neighborhood Feeling blessed, never stressed Got that sunshine on my Sunday best Every day can be a better day despite the challenge All you gotta do is leave it better than you found it It's gonna get difficult to stand but hold your balance I just say whatever cause there is no way around it cause Everyone falls down sometimes But you just gotta know it'll all be fine It's ok, uh-huh It's ok, it's ok Feeling good, like I should Went a"
272,Look Back at It,A Boogie Wit da Hoodie,pop,neutral,0.5870000000000001,96.06,0.536,0.791,0.407,81,"Look back at it She ain't never do this before, but she good at it Said she never made love, but she good at it (She good at it) She make a nigga feel good when I look at it (Yeah) I get goosebumps when I look at it (Look at it) Oh, girls just wanna have fun with it (Fun with it) All the girls just wanna have fun with me (Fun with me) These girls ain't really no good for me, yeah Drrrat, da-da, da Drrrat, da-da-da, da Drrrat, da-da-um-da Drrrat, da-da-da-um-da Yeah, got a new Benz that I ain't p"
273,Best Friend,Rex Orange County,pop,sad,0.7140000000000001,144.98,0.32,0.575,0.395,81,"I should've stayed at home 'Cause right now I see all these people that love me But I still feel alone Can't help but check my phone I coulda made you mine But no, it wasn't meant to be and see I wasn't made for you And you weren't made for me Though it seemed so easy And that's because I wanna be your favorite boy I wanna be the one that makes your day The one you think about as you lie awake I can't wait to be your number one I'll be your biggest fan and you'll be mine But I still wanna break "
274,Beautiful (feat. Camila Cabello),Bazzi,pop,sad,0.7170000000000001,100.03,0.249,0.638,0.346,81,"Hey Beautiful, beautiful, beautiful, beautiful angel Love your imperfections, every angle Tomorrow comes and goes before you know So I just had to let you know The way that Gucci look on you, amazing But nothing can compare to when you're naked Now a Backwood and some Henny got you faded Saying you the one for me, I need to face it Started when we were younger Swear to God that I loved her Sorry that your mum found out Guess that we just really had the thunder Ain't nobody else that I'd be under"
275,Instagram,Dimitri Vegas & Like Mike,pop,happy,0.906,96.07,0.95,0.765,0.125,81,"NA Just bought a black Ferrari House in the hills in L.A Say that you'll take care of me Sorry, but I don't need a plan like that Don't need a man like that What'd you say? You say that you've been on TV? And I should come back to your place? Hold up, let me set you straight School's in session, let me educate Who the hell do you think I am? I don't give a fuck about your Instagram Listen up, 'cause I'm not that girl Ain't enough liquor in the whole wide world Who the hell do you think I am? I d"
276,ilomilo,Billie Eilish,r&b,neutral,0.423,120.02,0.572,0.855,0.724,81,"Told you not to worry But maybe that's a lie Honey, what's your hurry? Won't you stay inside? Remember not to get too close to stars They're never gonna give you love like ours Where did you go? I should know, but it's cold And I don't wanna be lonely So show me the way home I can't lose another life Hurry, I'm worried The world's a little blurry Or maybe it's my eyes The friends I've had to bury They keep me up at night Said I couldn't love someone 'Cause I might break If you're gonna die, not "
277,Better,Khalid,pop,sad,0.552,97.95,0.112,0.596,0.076,81,"Better Nothing, baby Nothing feels better I'm not really drunk, I never get that fucked up I'm not, I'm so sober Love to see you shine in the night like the diamond you are (Love to see you shine in the night like the diamond you are) I'm good on the side, it's alright, just hold me in the dark (I'm good on the side, it's alright, just hold me in the dark) No one's gotta know what we do, hit me up when you're bored (No one's gotta know what we do, hit me up when you're bored) 'Cause I live down "
278,Devil Eyes,Hippie Sabotage,pop,sad,0.396,99.11,0.199,0.391,0.702,81,"You've got the devil in your eyes You went and took me by surprise Say what you wanna say I won't go back If you wanna hit the road then let's go then Let's just go and see the world and just show them What it really means to live life golden Yeah we're golden, babygirl we're golden They about to see a shine cause we're golden They can never break us down cause we're golden They about to see us glow cause we're golden Yeah we're golden, babygirl we're golden They about to see a shine cause we're"
279,Easier,5 Seconds of Summer,pop,happy,0.428,175.81,0.618,0.505,0.489,81,"Is it easier to stay? Is it easier to go? I don't wanna know, oh But I know that I'm never, ever gonna change And you know you don't want it any other way Why do we always gotta run away? And we wind up in the same place It's like we're looking for the same thing Same thing, yeah Yeah, do we really gotta do this now? Right here with all your friends around In the morning, we can work it out Work it out I love you so much that I hate you Right now, it's so hard to blame you 'Cause you're so damn "
280,Mine,Bazzi,pop,happy,0.789,142.93,0.717,0.71,0.016,81,"Huh, yeah, naw I just, had a lil' bit too much of Hennessy Just gotta tell you how I feel, look You so fuckin' precious when you smile Hit it from the back and drive you wild Girl, I lose myself up in those eye-eye-eye-eye-eyes I just had to let you know you're mine Hands on your body, I don't wanna waste no time Feels like forever even if forever's tonight Just lay with me, waste this night away with me You're mine, I can't look away, I just gotta say I'm so fucking happy you're alive Swear to "
281,Juicy,Doja Cat,r&b,neutral,0.6579999999999999,170.04,0.458,0.786,0.086,81,"I keep it juicy juicy, I eat that lunch (Yeah) She keep that booty booty, she keep that plump (Yeah yeah) That natural beauty beauty, yeah, yeah If you could see it from the front, wait 'til you see it from the back, back, back, back, back (Wait 'til you see it from the...) Back, back, yeah, back, back, back (Wait 'til you see it from the...) Back, back, back, back, back (Wait 'til you see it from the...) If you could see it from the front, wait 'til you see it from the back He like the Doja and"
282,"Fire On Fire - From ""Watership Down""",Sam Smith,r&b,sad,0.407,115.12,0.341,0.584,0.476,81,"My mother said I'm too romantic She said, ""You're dancing in the movies"" I almost started to believe her Then I saw you and I knew Maybe it's 'cause I got a little bit older Maybe it's all that I've been through I'd like to think it's how you lean on my shoulder And how I see myself with you I don't say a word But still, you take my breath and steal the things I know There you go, saving me from out of the cold Fire on fire would normally kill us But this much desire, together, we're winners The"
283,Californication,Red Hot Chili Peppers,rock,sad,0.767,96.48,0.328,0.592,0.002,81,"Psychic spies from China try to steal your mind's elation An' little girls from Sweden dream of silver screen quotation And if you want these kind of dreams, it's Californication It's the edge of the world and all of Western civilization The sun may rise in the east at least it's settled in a final location It's understood that Hollywood sells Californication Pay your surgeon very well to break the spell of aging Celebrity skin, is this your chin or is that war you're waging? First born unicorn "
284,Happy Now,Kygo,pop,neutral,0.575,118.0,0.492,0.693,0.374,81,"We don't wanna believe it, that it's all gone It's just a matter of minutes before the sun goes down We're afraid to admit it, but I know you know, know that We should've known better, but kept on trying And it's time that we see it, the fire's dying out Can't believe that I say this, we're out of chances now And I just want you to know that You and me, it was good, but it wasn't right And it'll be hard, but I know I will make it out Step by step, I'll move on and get on with life So I let go, a"
285,Billie Jean,Michael Jackson,rock,happy,0.654,117.05,0.847,0.92,0.024,81,"She was more like a beauty queen from a movie scene I said, ""Don't mind, but what do you mean, I am the one Who will dance on the floor in the round?"" She said I am the one Who will dance on the floor, in the round She told me her name was Billie Jean As she caused a scene Then every head turned with eyes that dreamed of being the one Who will dance on the floor in the round People always told me, ""Be careful of what you do Don't go around breaking young girls' hearts"" (Hee-eeh) And mother alway"
286,"i hate u, i love u (feat. olivia o'brien)",gnash,edm,sad,0.275,92.6,0.18,0.492,0.687,81,"Feeling used, but I'm Still missing you and I can't See the end of this Just wanna feel your kiss against my lips And now all this time is passing by But I still can't seem to tell you why It hurts me every time I see you Realize how much I need you I hate you, I love you I hate that I love you Don't want to, but I can't put Nobody else above you I hate you, I love you I hate that I want you You want her, you need her And I'll never be her I miss you when I can't sleep Or right after coffee or r"
287,Heathens,Twenty One Pilots,pop,neutral,0.396,90.02,0.548,0.732,0.084,81,"All my friends are heathens, take it slow (In the city, boy, in the city) Wait for them to ask you who you know Please don't make any sudden moves You don't know the half of the abuse All my friends are heathens, take it slow Wait for them to ask you who you know Please don't make any sudden moves You don't know the half of the abuse Welcome to the room of people Who have rooms of people that they loved one day Stocked away Just because we check the guns at the door Doesn't mean our brains will "
288,Under the Bridge,Red Hot Chili Peppers,rock,neutral,0.345,84.58,0.458,0.559,0.058,81,"Sometimes I feel like I don't have a partner Sometimes I feel like my only friend Is the city I live in, the city of angels Lonely as I am, together we cry I drive on her streets 'cause she's my companion I walk through her hills 'cause she knows who I am She sees my good deeds and she kisses me windy Well, I never worry, now that is a lie I don't ever wanna feel like I did that day But take me to the place I love, take me all the way'Cause I don't ever wanna feel like I did that day But take me"
289,"Rocket Man (I Think It's Going To Be A Long, Long Time)",Elton John,rock,sad,0.532,136.57,0.341,0.601,0.432,81,"She packed my bags last night, pre-flight Zero hour: 9:00 a.mAnd I'm gonna be high as a kite by then I miss the Earth so much, I miss my wife It's lonely out in space On such a timeless flight And I think it's gonna be a long, long time'Til touchdown brings me 'round again to find I'm not the man they think I am at home Oh no, no, no I'm a rocket man Rocket man, burning out his fuse up here alone And I think it's gonna be a long, long time'Til touchdown brings me 'round again to find I'm not the"
290,Meant to Be (feat. Florida Georgia Line),Bebe Rexha,latin,neutral,0.7829999999999999,154.08,0.579,0.643,0.047,81,"Baby, lay on back and relax Kick your pretty feet up on my dash No need to go nowhere fast Let's enjoy right here where we at Who knows where this road is supposed to lead? We got nothing, but time As long as you're right here next to me, everything's gonna be alright If it's meant to be, it'll be, it'll be Baby, just let it be If it's meant to be, it'll be, it'll be Baby, just let it be So won't you ride with me, ride with me? See where this thing goes If it's meant to be, it'll be, it'll be Ba"
291,What I Like About You (feat. Theresa Rex),Jonas Blue,pop,neutral,0.8,102.46,0.553,0.46,0.289,81,"All my life I've been a good girl Tryna do what's right, never told no lies Then you came around and suddenly my world Turned upside down, now there's no way out I tried to fight against it, shut out what all my friends said Can't get you out of my head, oh-woah-woah-woah-woah I keep letting you in, though I know it's not a good thing I got you under my skin, oh-woah-woah-woah You're so outta line You make me bad and I don't know why But that's what I like about ya Yeah, that's what I like about"
292,Sum 2 Prove,Lil Baby,rap,neutral,0.552,124.04,0.418,0.823,0.017,81,"You know Lil Ced, that's my nigga, I made him a millionaire, fuck it, we all rich I ain't tryna have babies right now, so we fuck with the rubber, but I got a raw bitch Know this money bring envy, you probably wan' be me, but bro, we can't beef 'bout no small shit Overseas, got the crowd doin' moshpits Can't believe that I'm still in the 'partments Businessman, went and got me an office Million dollar deals, I get 'em often Me and Dolla was servin' on Sparks Street Hot lil' jit, he gon' stay wit"
293,Under Pressure - Remastered,Queen,rock,neutral,0.7120000000000001,113.8,0.462,0.671,0.429,81,"Mmm num ba de Dum bum ba be Doo buh dum ba beh beh Pressure pushing down on me Pressing down on you, no man ask for Under pressure that burns a building down Splits a family in two Puts people on streets Um ba ba be Um ba ba be De day da Ee day da- that's okay It's the terror of knowing what this world is about Watching some good friends screaming, ""Let me out!""Pray tomorrow gets me higher Pressure on people, people on streets Day day de mm hm Da da da ba ba Okay Chipping around, kick my brains "
294,Numb,Linkin Park,rock,sad,0.863,110.02,0.243,0.496,0.005,81,"I'm tired of being what you want me to be Feeling so faithless, lost under the surface I don't know what you're expecting of me Put under the pressure of walking in your shoes Caught in the undertow, just caught in the undertow Every step that I take is another mistake to you Caught in the undertow, just caught in the undertow I've become so numb, I can't feel you there Become so tired, so much more aware I'm becoming this, all I want to do Is be more like me and be less like you Can't you see t"
295,UP THE SMOKE (with Offset),Stunna 4 Vegas,rap,happy,0.765,142.99,0.896,0.907,0.051,81,"(Young Grind, stop playin' with me) (EVRGRN with the heat, yeah) Hey (Woo, woo Woo, woo) Produced by Cre8 (Hey) Up-Up the smoke Diamonds, they choke (Ice, ice, ice) Fuck my bro (Smash, smash) I'm in the white Lamborghini, the Pope (White) Hundred racks, they gon' take your soul (Hundred racks) Glock with the three and the O (Glock) Bought a yacht, put the kids on the boat (Yacht) Put a brick in the figure, the four (Hey, hey) Got a stick, it's a SIG, it'll blow (Brrt, brrt) Mix up a four (Woo, w"
296,Come Thru (with Usher),Summer Walker,r&b,neutral,0.728,152.0,0.46,0.679,0.159,80,"We got London on da Track I should've known better Can't even pretend like I don't want it again On the brain all the time Thinkin' of all the things that we did You did somethin' 'Cause shit like this don't happen too often It's the way you put it down I don't want no one else around Got me takin' a step on the wild side Cuttin' all ties With them other guys Way you, way you look in my eyes Lovin' me nice and slow You make me wanna come through Quarter after two Just to put it down on you You m"
297,Love Songs - Bonus,Kaash Paige,r&b,neutral,0.355,120.03,0.453,0.641,0.831,80,"I miss my cocoa butter kisses, hope you smile when you listen Ain't no competition, just competin' for attention And you like, ""I'm not on no games"" Well, baby, I been peepin', and you ain't been the same Like, who been on your mind? Who got your time? Who you been vibin' with and why I can't make you mine? You used to be texting me, checking me, calling me your slime And now you treat me like my worth less than a dime And if we paint a perfect picture, we can make it last forever And you the on"
298,Mixed Personalities (feat. Kanye West),YNW Melly,rap,sad,0.44,149.94,0.352,0.661,0.457,80,"Because I am hard, you will not like me Say you want someone Say you want someone Said you want someone Say you want someone I think I got mixed personalities This bitch switched up my whole mentality This girl, she got mixed personalities One day she's happy, then she mad at me Say you want someone that'll love you Someone who could please you Someone who can kiss on and rub you Fuck you like this, fuck you like that Oh, now, I got mixed personalities She got me stressin', singin' melodies For "
299,Vulnerable,Selena Gomez,r&b,sad,0.573,100.03,0.38,0.695,0.132,80,"If I give you every piece of me, I know that you could drop it Give you the chance, I know that you could take advantage once you got it If I open up my heart to you, I know that you could lock it Throw away the key, and keep it there forever in your pocket If I give the opportunity to you, then would you blow it? If I was the greatest thing to happen to you, would you know it? If my love was like a flower, would you plant it? Would you grow it? I'ma give you all my body, are you strong enough t"
300,I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,r&b,happy,0.8240000000000001,118.81,0.867,0.709,0.207,80,"Clock strikes upon the hour And the sun begins to fade Still enough time to figure out How to chase my blues away I've done alright up to now It's the light of day that shows me how And when the night falls, loneliness calls Oh, I wanna dance with somebody I wanna feel the heat with somebody Yeah, I wanna dance with somebody With somebody who loves me Oh, I wanna dance with somebody I wanna feel the heat with somebody Yeah, I wanna dance with somebody With somebody who loves me I've been in love"
301,Empty,Juice WRLD,rap,neutral,0.561,77.56,0.449,0.745,0.076,80,"From the unknown I ran away, I don't think I'm coming back home Whoa-whoa-whoa-whoa-whoa-whoa Like a crawlspace, it's a dark place I roam Ain't no right way, just the wrong way I know I problem-solve with Styrofoam My world revolves around a black hole The same black hole that's in place of my soul, uh Empty, I feel so goddamn empty I may go rogue Don't tempt me, big bullet holes Tote semi-autos Huh, yeah I'm keepin' it real, real I'm keepin' it real, uh, yeah Life gets tough, shit is getting re"
302,8,Billie Eilish,r&b,neutral,0.235,62.45,0.462,0.735,0.698,80,"Wait a minute, let me finish I know you don't care But can you listen? I came committed, guess I overdid it Wore my heart out on a chain Around my neck, but now it's missin', hmm Da-da-da-da-da-da (Hmm) Da-da-da-da-da-da-da (Hmm, hmm, hmm, hmm) Oh, hmm, hmm So I think I better go I never really know how to please you You're lookin' at me like I'm see-through I guess I'm gonna go I just never know how you feel Do you even feel anything? Da-da-da-da-da-da-da Da-da-da-da-da-da-da Oh, hmm, hmm You s"
303,emotions,iann dior,rap,sad,0.63,80.51,0.163,0.63,0.013,80,"In my head, she said it's all in my head (My head) But it's not, think I'd rather be dead (Be dead) Can't forgive or forget what you did (You did) She said I drove her away with my emotions (I drove her away) Can't take the pain anymore, I'm feeling hopeless (Can't take the pain) In my head, she said it's all in my head (My head) But it's not, think I'd rather be dead (Be dead) Can't forgive or forget what you did (You did) I don't even know why I try You did me wrong And I can't forget that Tel"
304,Fine China,Future,rap,neutral,0.542,166.11,0.551,0.656,0.048,80,"The world on drugs Ten (Yeah) thousand dollar plates Thousand dollar plates Thousand dollar plates, fine china Shorty like a, uh Shorty like a(Wheezy outta here) Shorty like a thousand dollar plate, fine china Tell her that she beautiful every day, I remind her Then I jump in her pussy like a lake, I'm a diver And her last man was a pussy, had a vagina I get lost in her eyes, like dust from the skies It's her body or nobody, I refuse to compromise So if she leaves, I'ma kill her, oh, she'll die "
305,Can't Stop,Red Hot Chili Peppers,rock,happy,0.938,91.46,0.875,0.618,0.018,80,"Can't stop, addicted to the shindig Chop Top, he says I'm gonna win big Choose not a life of imitation Distant cousin to the reservation Defunkt, the pistol that you pay for This punk, the feelin' that you stay for In time I want to be your best friend East side love is living on the West End Knocked out, but, boy, you better come to (Oh, oh-oh) Don't die, you know, the truth as some do (Oh-oh) Go write your message on the pavement (Oh-oh) Burn so bright, I wonder what the wave meant White heat "
306,Be Honest (feat. Burna Boy),Jorja Smith,r&b,happy,0.737,98.06,0.635,0.757,0.311,80,"I know you want me Every day, not only when you're lonely‚ yeah You see me think you know me But you don't even know nothing about me‚ yeah You see my thick thighs Lost it when you look into my brown eyes See‚ my little waist can make you switch sides You never know the devil in the disguise So why don't you stand up, baby, and Tell me‚ tell me, tell me do you want me on top? So let me show you, show you‚ show you, I don't need to back it up Don't wanna hold ya, mold ya, scold ya Split you in ha"
307,Sign of the Times,Harry Styles,rock,sad,0.595,119.97,0.222,0.516,0.028,80,"Just stop your crying, it's a sign of the times Welcome to the final show Hope you're wearing your best clothes You can't bribe the door on your way to the sky You look pretty good down here But you ain't really good We never learn, we been here before Why are we always stuck and running from The bullets? The bullets? We never learn, we been here before Why are we always stuck and running from The bullets? The bullets? Just stop your crying, it's a sign of the times We gotta get away from here W"
308,The Real Slim Shady,Eminem,rap,happy,0.6609999999999999,104.5,0.76,0.949,0.03,80,"May I have your attention, please? May I have your attention, please? Will the real Slim Shady please stand up? I repeat, will the real Slim Shady please stand up? We're gonna have a problem here... Y'all act like you never seen a white person before Jaws all on the floor like Pam like Tommy just burst in the door And started whoopin' her ass worse than before They first were divorced, suin' her over furniture (Agh!) It's the return of the ""Ah, wait, no way, you're kidding He didn't just say wha"
309,Don't,Bryson Tiller,rap,sad,0.356,97.0,0.19,0.765,0.222,80,"Don't, don't play with her, don't be dishonest (Ayy) Still not understandin' this logic (Ayy) I'm back and I'm better (And I'm better) I want you bad as ever Don't let me just let up I wanna give you better Baby, it's whatever Somebody gotta step up Girl, I'm that somebody, so I'm next up Be damned if I let him catch up It's easy to see that you're fed up I am on a whole 'nother level Girl, he only fucked you over 'cause you let him Fuck him, girl, I guess he didn't know any better Girl, that ma"
310,Feel Good Inc.,Gorillaz,rock,happy,0.705,138.56,0.772,0.818,0.008,80,"Hahahahahahahahahahahahahahahahaha, Feel Good Sha, sha-ba-sha ka, sha-ba-, Feel Good Sha, sha-ba-da, sha-ba-da, Feel Good Sha, sha-ba-da, sha-ba-da, Feel Good Sha, sha-ba-da, sha-ba-da, Feel Good Sha, sha-ba-da, sha-ba-da, Feel Good Sha, sha-ba-da, sha-ba-da, Feel Good (Change) Sha, sha-(Change) ba-da (Change), sha-ba-da (Change) (Change) Sha, sha-(Change) ba-da (Change), sha-ba-da (Change) City's breaking down on a camel's back They'll just have to go, 'cause they don't know wack So all you fil"
311,Zombie,The Cranberries,rock,sad,0.635,166.98,0.305,0.307,0.016,80,"Another head hangs lowly Child is slowly taken And the violence caused such silence Who are we mistaken? But you see, it's not me, it's not my family In your head, in your head, they are fightin'With their tanks and their bombs and their bombs and their guns In your head, in your head, they are cryin' In your head, in your head Zombie, zombie, zombie-ie-ie What's in your head, in your head? Zombie, zombie, zombie-ie-ie-ie, oh Du, du, du, du Du, du, du, du Du, du, du, du Du, du, du, du Another mo"
312,Bank Account,21 Savage,rap,sad,0.346,75.02,0.376,0.884,0.015,80,"Ooh, ooh, ooh, ow, ow, ow Wow, wow, ow, ah, ow, ah, ah, ah I buy a new car for the bitch (for real) I tear down the mall with the bitch (for real) You can't even talk to the bitch (no) She fucking with bosses and shit (on God) I pull up in 'Rari's and shit (skrrr) With choppers and Harley's and shit (for real) I be Gucci'd down (Gucci) You wearing Lacoste and shit (bitch) Yeah, Moncler, yuh, fur came off a bear, yuh (yeah) Triple homicide, put me in a chair, yuh (in jail) Triple cross the plug, "
313,Famous Hoes,NLE Choppa,rap,sad,0.627,81.48,0.332,0.732,0.346,80,"Cash MoneyAP NLE the top shotta I got the bomb like Al-Qaeda Get a bitch and make her famous, next minute she block me Thirty in this Perky, need to slow down on the Roxys Got a call, my nigga died, I damn near skipped a heartbeat Lookin' for your love, but your feelings is departing Pull up on the wrong street, you niggas getting blicked out Gun up in my hand while I fuck her with my dick out We was really in the trenches, thuggin' in the Choppa house Don't you tell me that it's smoke, because "
314,Lucky You (feat. Joyner Lucas),Eminem,rap,neutral,0.7859999999999999,153.07,0.575,0.876,0.063,80,"Woah, Joyner, Joyner, yeah, yeah, yeah Yeah, I done did a lot of things in my day, I admit it I don't take back what I say, if I said it then I meant it All my life I want a Grammy, but I'll prolly never get it I ain't never had no trophy or no motherfuckin' ribbon (Yah I said it) Fuck the system, I'm that nigga, bend the law, cut the rules I'm about to risk it all, I ain't got too much to lose Y'all been eatin' long enough, it's my turn to cut the food Pass the plate! Where my drink? This my da"
315,Start Wit Me (feat. Gunna),Roddy Ricch,rap,neutral,0.479,130.03,0.408,0.886,0.077,80,"(Oh Lord, Jetson made another one) I been done ride through another nigga city I got a brand new Draco with me Clip got thirty-three, Scottie Pippen Bitch nigga ain't heard of me, I got a Richard Drippin', my sweatsuit Givenchy I brought my strap in the party And my diamonds offset like Cardi Got a bad bitch with me, she a Barbie, huh You don't wanna start with me Got some hood niggas postin' in Le Jardin I have his nigga on back of a carton Spend Larry Bird, thirty-three on Cartier I got thirty"
316,Put A Little Love On Me,Niall Horan,r&b,sad,0.465,95.97,0.299,0.584,0.678,80,"We fight, we get high holdin' on to love We came down 'cause there was nothing holdin' us Is it wrong that I still wonder where you are? Is it wrong that I still don't know my heart? Are you all dressed up but with nowhere to go? Are your tears falling down when the lights are low? Another Friday night tryna put on a show Do you hate the weekend 'cause nobody's callin'? I've still got so much love hidden beneath this skin So, darlin' Put a little love on me Put a little love on me When the light"
317,Chop Suey!,System Of A Down,rock,sad,0.934,127.29,0.286,0.419,0.0,80,"We're rolling ""Suicide"" Wake up (Wake up) Grab a brush and put a little makeup Hide your scars to fade away the shakeup (Hide the scars to fade away the) Why'd you leave the keys upon the table? Here you go, create another fable You wanted to! Grab a brush and put a little makeup You wanted to! Hide the scars to fade away the shakeup You wanted to! Why'd you leave the keys upon the table? You wanted to! I don't think you trust In my self-righteous suicide I cry when angels deserve to die Wake up"
318,Save That Shit,Lil Peep,rap,sad,0.583,106.0,0.145,0.534,0.026,80,"Fuck my life, can't save that, girl Don't tell me you could save that shit All she want is payback for the way I always play that shit You ain't gettin' nothin' that I'm sayin' Don't tell me you is Nothin' like them other motherfuckers I can make you rich (I can make you rich) I can make you this, baby, I can make you that I can take you there, but baby, you won't make it back Growing sick of this and I don't wanna make you sad Do I make you scared? Baby, won't you take me back? Nothin' like the"
319,YOSEMITE,Travis Scott,r&b,sad,0.5539999999999999,128.05,0.144,0.785,0.283,80,"Ice on my neck, flawless baguettes Hop off a jet, barely get rest Cash through the month, I get a check Yves Saint Laurent on my pants and my chest Chanel, her dress, clean up her mess I eat her flesh, you know the rest Count up a hun', cop a Rolex Shine like the sun, you truly blessed Two-tone Patek In the Clearport like I Uber these jets VVSs on me got my Gucci shirt wet Put a M in my bag, gon' get used to these racks I went to school where they teach you finesse Five hundred shoes for the dri"
320,Shotta Flow (Feat. Blueface) [Remix],NLE Choppa,rap,neutral,0.511,120.08,0.568,0.894,0.025,80,"I wish everything I touch would turn to gold NLE, you heard me? Baby Mexico Choppa, man, Top Shotta Baby Mexico Shotta, you heard me? We finna talk our shit, you heard me? YNR (Yeah) Midas got a jugg, ayy (Yeah, yeah) Yeah, yeah, yeah, yeah I am a menace, keep me a rack just like tennis I'm with the shit like I'm Dennis I started this shit, I'ma finish Niggas be hatin', tryna blemish my image Who want the smoke? .223 came with the scope Extended clip long as a rope We wipe his nose, just like he"
321,Everybody Wants To Rule The World,Tears For Fears,rock,neutral,0.795,112.07,0.535,0.645,0.347,80,Welcome to your life There's no turning back Even while we sleep We will find you Acting on your best behaviour Turn your back on mother nature Everybody wants to rule the world It's my own design It's my own remorse Help me to decide Help me make the most Of freedom and of pleasure Nothing ever lasts forever Everybody wants to rule the world There's a room where the light won't find you Holding hands while the walls come tumbling down When they do I'll be right behind you So glad we've almost m
